model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
50.0,2,1500,0.01286,0.354,0.646,0.35416,0.36739,60.62
50.0,2,2000,0.02039,0.40733,0.59267,0.40075,0.40688,79.19
50.0,2,2500,0.00069,0.408,0.592,0.3959,0.40152,97.73
50.0,2,3000,0.01532,0.38,0.62,0.37113,0.38053,116.23
50.0,2,3500,0.00516,0.39,0.61,0.37484,0.37728,134.74
50.0,2,4000,0.00346,0.37,0.63,0.36339,0.36701,153.27
50.0,2,4500,0.00072,0.39667,0.60333,0.38412,0.39721,171.69
50.0,2,5000,0.00046,0.39867,0.60133,0.38822,0.3924,190.23
50.0,2,5500,4e-05,0.41,0.59,0.39775,0.39869,208.68
50.0,2,6000,0.00042,0.38467,0.61533,0.3674,0.40934,227.15
50.0,2,6500,0.00073,0.36533,0.63467,0.35749,0.35735,245.72
50.0,2,7000,0.00012,0.354,0.646,0.35081,0.35909,264.2
50.0,2,7500,6e-05,0.35733,0.64267,0.35244,0.35865,282.61
50.0,2,8000,6e-05,0.35933,0.64067,0.35561,0.36084,301.07
50.0,5,500,0.22063,0.544,0.456,0.53019,0.54475,27.38
50.0,5,1000,0.03588,0.61333,0.38667,0.60231,0.59978,49.54
50.0,5,1500,0.02122,0.57,0.43,0.55877,0.55615,71.74
50.0,5,2000,0.0003,0.56467,0.43533,0.55559,0.55339,93.74
50.0,5,2500,0.0002,0.56667,0.43333,0.55721,0.55239,116.02
50.0,5,3000,0.00014,0.52667,0.47333,0.52373,0.5284,138.1
50.0,5,3500,4e-05,0.55533,0.44467,0.54832,0.5462,160.16
50.0,5,4000,1e-05,0.56267,0.43733,0.55391,0.5509,182.29
50.0,5,4500,1e-05,0.55867,0.44133,0.54737,0.54249,205.44
50.0,5,5000,1e-05,0.558,0.442,0.54682,0.54168,228.77
50.0,5,5500,1e-05,0.56133,0.43867,0.55113,0.54687,250.85
50.0,5,6000,1e-05,0.56,0.44,0.5489,0.54501,274.35
50.0,5,6500,1e-05,0.56133,0.43867,0.55011,0.5448,296.38
50.0,5,7000,0.0,0.56267,0.43733,0.55205,0.54678,318.47
50.0,5,7500,0.0,0.56133,0.43867,0.54995,0.54501,341.07
50.0,5,8000,0.0,0.562,0.438,0.55166,0.5468,363.16
50.0,10,500,0.30041,0.704,0.296,0.68946,0.70079,28.85
50.0,10,1000,0.00144,0.73333,0.26667,0.72847,0.72937,52.8
50.0,10,1500,5e-05,0.73467,0.26533,0.72958,0.7317,76.75
50.0,10,2000,3e-05,0.73467,0.26533,0.7297,0.73135,100.67
50.0,10,2500,2e-05,0.73467,0.26533,0.72961,0.73098,124.56
50.0,10,3000,1e-05,0.73867,0.26133,0.73315,0.73442,148.42
50.0,10,3500,1e-05,0.73867,0.26133,0.73323,0.73436,172.36
50.0,10,4000,1e-05,0.73,0.27,0.7242,0.72665,196.23
50.0,10,4500,1e-05,0.732,0.268,0.72604,0.72828,220.28
50.0,10,5000,1e-05,0.73533,0.26467,0.72844,0.73299,244.2
50.0,10,5500,0.0,0.732,0.268,0.72604,0.72799,268.25
50.0,10,6000,0.0,0.73267,0.26733,0.72677,0.72846,292.22
50.0,10,6500,0.0,0.734,0.266,0.72811,0.73042,316.2
50.0,10,7000,0.0,0.73533,0.26467,0.72946,0.7318,340.2
50.0,10,7500,0.0,0.73267,0.26733,0.72575,0.72862,364.18
50.0,10,8000,0.0,0.73067,0.26933,0.72417,0.72705,388.16
50.0,20,500,0.47044,0.77933,0.22067,0.76747,0.78397,28.74
50.0,20,1000,0.05097,0.75,0.25,0.7483,0.78541,52.67
50.0,20,1500,0.0055,0.728,0.272,0.735,0.77951,76.77
50.0,20,2000,0.03782,0.824,0.176,0.82177,0.82254,100.88
50.0,20,2500,0.0002,0.824,0.176,0.82061,0.82188,124.91
50.0,20,3000,9e-05,0.826,0.174,0.82411,0.82499,148.87
50.0,20,3500,5e-05,0.82733,0.17267,0.82505,0.82571,172.81
50.0,20,4000,4e-05,0.828,0.172,0.82485,0.82576,196.78
50.0,20,4500,3e-05,0.83,0.17,0.8269,0.82867,221.22
50.0,20,5000,3e-05,0.828,0.172,0.8253,0.82612,245.21
50.0,20,5500,2e-05,0.82667,0.17333,0.82384,0.82553,269.22
50.0,20,6000,2e-05,0.82733,0.17267,0.82495,0.82581,293.26
50.0,20,6500,2e-05,0.828,0.172,0.82483,0.82702,317.27
50.0,20,7000,2e-05,0.828,0.172,0.82509,0.82619,341.36
50.0,20,7500,2e-05,0.82733,0.17267,0.82545,0.82648,366.5
50.0,20,8000,2e-05,0.83067,0.16933,0.82754,0.82955,392.12
50.0,50,500,0.63965,0.87,0.13,0.8711,0.88029,28.35
50.0,50,1000,0.16712,0.87733,0.12267,0.87913,0.89402,52.42
50.0,50,1500,0.07193,0.864,0.136,0.86411,0.87773,76.49
50.0,50,2000,0.04512,0.892,0.108,0.89167,0.90615,100.54
50.0,50,2500,0.01191,0.89867,0.10133,0.89581,0.91038,124.72
