model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
25.0,50,1500,0.06489,0.84133,0.15867,0.83377,0.86822,41.97
25.0,50,2000,0.03176,0.90933,0.09067,0.90998,0.91555,53.68
25.0,50,2500,0.02786,0.94133,0.05867,0.94105,0.94184,65.4
25.0,50,3000,0.00051,0.946,0.054,0.94574,0.94623,77.13
25.0,50,3500,0.04492,0.924,0.076,0.92393,0.92542,88.91
25.0,50,4000,0.01028,0.89533,0.10467,0.89373,0.89889,100.66
25.0,50,4500,0.0036,0.94333,0.05667,0.9433,0.9444,112.41
25.0,50,5000,0.00016,0.94667,0.05333,0.94658,0.9474,124.15
25.0,50,5500,0.00012,0.94667,0.05333,0.9466,0.94747,135.84
25.0,50,6000,8e-05,0.948,0.052,0.94789,0.949,147.5
25.0,50,6500,6e-05,0.94867,0.05133,0.94849,0.94885,159.19
25.0,50,7000,6e-05,0.94533,0.05467,0.94534,0.94644,170.92
25.0,50,7500,5e-05,0.948,0.052,0.94797,0.94886,182.64
25.0,50,8000,3e-05,0.948,0.052,0.94799,0.94898,194.37
25.0,50,8500,3e-05,0.948,0.052,0.94798,0.94917,206.14
25.0,50,9000,3e-05,0.95,0.05,0.9499,0.95061,217.86
25.0,50,9500,5e-05,0.94933,0.05067,0.94932,0.95033,229.59
25.0,50,10000,4e-05,0.94867,0.05133,0.94854,0.9493,241.35
25.0,100,500,0.68719,0.77533,0.22467,0.76362,0.82243,19.69
25.0,100,1000,0.25352,0.828,0.172,0.82749,0.85076,32.1
25.0,100,1500,0.13445,0.90667,0.09333,0.90515,0.91734,44.54
25.0,100,2000,0.08405,0.878,0.122,0.87453,0.8968,56.95
25.0,100,2500,0.06059,0.94067,0.05933,0.94031,0.94377,69.38
25.0,100,3000,0.03303,0.956,0.044,0.95543,0.9572,81.82
25.0,100,3500,0.03823,0.96467,0.03533,0.96462,0.96533,94.29
25.0,100,4000,0.01825,0.96267,0.03733,0.96276,0.96392,106.75
25.0,100,4500,0.02425,0.93867,0.06133,0.9391,0.94245,119.2
25.0,100,5000,0.01745,0.974,0.026,0.97398,0.97401,130.91
25.0,100,5500,0.01002,0.966,0.034,0.9661,0.96713,142.65
25.0,100,6000,0.00086,0.972,0.028,0.97195,0.97198,154.4
25.0,100,6500,0.00073,0.97533,0.02467,0.9752,0.97562,166.13
25.0,100,7000,0.00541,0.97667,0.02333,0.97656,0.97662,177.87
25.0,100,7500,0.00088,0.97533,0.02467,0.97528,0.9754,189.62
25.0,100,8000,0.00033,0.978,0.022,0.97792,0.97803,201.4
25.0,100,8500,0.00016,0.98,0.02,0.97993,0.97997,213.15
25.0,100,9000,0.00014,0.98067,0.01933,0.9806,0.98064,224.88
25.0,100,9500,0.00014,0.98067,0.01933,0.98062,0.98064,236.59
25.0,100,10000,0.00012,0.98067,0.01933,0.98061,0.98063,248.33
50.0,1,500,0.30581,0.234,0.766,0.22321,0.25243,25.37
50.0,1,1000,0.03467,0.29667,0.70333,0.26739,0.29533,39.3
50.0,1,1500,0.02116,0.26333,0.73667,0.2368,0.2647,53.19
50.0,1,2000,0.00076,0.30067,0.69933,0.28264,0.29237,67.08
50.0,1,2500,0.0095,0.306,0.694,0.28308,0.28649,81.02
50.0,1,3000,0.02469,0.258,0.742,0.24396,0.26837,95.03
50.0,1,3500,0.00559,0.23933,0.76067,0.20552,0.24019,109.07
50.0,1,4000,0.00303,0.26267,0.73733,0.24936,0.27577,123.01
50.0,1,4500,0.00034,0.23133,0.76867,0.21908,0.26798,136.93
50.0,1,5000,0.00035,0.26533,0.73467,0.25315,0.26845,150.84
50.0,1,5500,8e-05,0.26867,0.73133,0.25939,0.28282,164.77
50.0,1,6000,0.00205,0.23667,0.76333,0.22376,0.22339,178.76
50.0,1,6500,9e-05,0.242,0.758,0.22927,0.23432,192.8
50.0,1,7000,3e-05,0.25533,0.74467,0.24581,0.25144,206.69
50.0,1,7500,0.00027,0.24667,0.75333,0.23918,0.25205,220.62
50.0,1,8000,2e-05,0.246,0.754,0.23661,0.2534,234.52
50.0,1,8500,2e-05,0.25133,0.74867,0.24545,0.251,248.55
50.0,1,9000,1e-05,0.24533,0.75467,0.23775,0.2497,262.71
50.0,1,9500,1e-05,0.24867,0.75133,0.2399,0.25262,276.77
50.0,1,10000,3e-05,0.25067,0.74933,0.24063,0.24409,290.74
50.0,2,500,0.25025,0.40867,0.59133,0.38166,0.40815,21.9
50.0,2,1000,0.03841,0.434,0.566,0.42852,0.44464,38.98
50.0,2,1500,0.015,0.42533,0.57467,0.38492,0.45836,56.05
50.0,2,2000,0.01686,0.35533,0.64467,0.34353,0.35408,73.16
50.0,2,2500,0.00784,0.32267,0.67733,0.31817,0.34183,90.3
50.0,2,3000,0.00066,0.35067,0.64933,0.34867,0.35368,107.44
50.0,2,3500,0.02231,0.31933,0.68067,0.28248,0.32584,124.59
50.0,2,4000,0.01089,0.376,0.624,0.37535,0.40463,141.77
50.0,2,4500,0.0056,0.32667,0.67333,0.32902,0.35484,158.98
50.0,2,5000,0.00309,0.35333,0.64667,0.34697,0.35315,176.17
50.0,2,5500,0.00056,0.36867,0.63133,0.36039,0.36724,193.26
50.0,2,6000,4e-05,0.36133,0.63867,0.35441,0.35737,210.44
50.0,2,6500,4e-05,0.35867,0.64133,0.35398,0.35554,227.6
50.0,2,7000,1e-05,0.36467,0.63533,0.3606,0.36151,244.7
50.0,2,7500,2e-05,0.37067,0.62933,0.36393,0.36385,261.75
50.0,2,8000,1e-05,0.37667,0.62333,0.37133,0.37115,278.82
50.0,2,8500,1e-05,0.37667,0.62333,0.36981,0.37052,295.9
50.0,2,9000,1e-05,0.36867,0.63133,0.3634,0.36505,313.05
50.0,2,9500,1e-05,0.38,0.62,0.37546,0.37511,330.18
50.0,2,10000,1e-05,0.374,0.626,0.36907,0.37006,347.21
50.0,5,500,0.3429,0.62733,0.37267,0.6323,0.66565,25.98
50.0,5,1000,0.04693,0.72333,0.27667,0.71797,0.71896,46.49
50.0,5,1500,0.00026,0.738,0.262,0.73058,0.72882,66.93
50.0,5,2000,0.00013,0.73867,0.26133,0.73173,0.72948,87.35
50.0,5,2500,7e-05,0.73133,0.26867,0.72589,0.72532,107.88
50.0,5,3000,0.0541,0.70133,0.29867,0.69429,0.69434,128.42
50.0,5,3500,0.00022,0.708,0.292,0.70067,0.69977,148.94
50.0,5,4000,0.00011,0.71267,0.28733,0.70575,0.70503,169.45
50.0,5,4500,0.01182,0.64867,0.35133,0.63644,0.65134,189.98
50.0,5,5000,0.00074,0.70733,0.29267,0.69967,0.69898,210.53
50.0,5,5500,0.00012,0.69533,0.30467,0.68778,0.68555,231.04
50.0,5,6000,6e-05,0.702,0.298,0.69636,0.69415,251.48
50.0,5,6500,0.00454,0.66867,0.33133,0.65635,0.65962,272.05
50.0,5,7000,8e-05,0.68667,0.31333,0.67606,0.67934,292.58
50.0,5,7500,4e-05,0.69,0.31,0.68005,0.68195,313.07
50.0,5,8000,0.00019,0.66133,0.33867,0.65328,0.65299,333.65
50.0,5,8500,0.00011,0.67267,0.32733,0.66448,0.66359,354.2
50.0,5,9000,3e-05,0.67467,0.32533,0.66547,0.66431,374.76
